url_source,url_target,page_title_target
"""None""","""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""Super Bowl LIV"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/1966_Kansas_City_Chiefs_season""","""1966 Kansas City Chiefs season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Baltimore_Ravens""","""Baltimore Ravens"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Germany""","""Germany"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/2019_Stanley_Cup_Finals""","""2019 Stanley Cup Finals"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Central_Time_Zone""","""Central Time Zone"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Donald_Trump_2020_presidential_campaign""","""Donald Trump 2020 presidential campaign"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/American_football""","""American football"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Broadcasting_Act_(1991)""","""Broadcasting Act (1991)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Super_Bowl_Experience""","""Super Bowl Experience"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Super_Bowl_IV""","""Super Bowl IV"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/New_England_Patriots""","""New England Patriots"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Raymond_James_Stadium""","""Raymond James Stadium"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Matt_Moore_(American_football)""","""Matt Moore (American football)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/2020_Democratic_Party_presidential_primaries""","""2020 Democratic Party presidential primaries"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Iowa_caucuses""","""Iowa caucuses"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Time_of_possession""","""Glossary of American football"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Dee_Ford""","""Dee Ford"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/2019_Tennessee_Titans_season""","""2019 Tennessee Titans season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Super_Bowl_XXXIII""","""Super Bowl XXXIII"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Yolanda_Adams""","""Yolanda Adams"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Pepsi""","""Pepsi"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/CTV_Television_Network""","""CTV Television Network"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Ultra_high_definition""","""Ultra-high-definition television"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/TV6_(Sweden)""","""TV6 (Sweden)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/2019_Minnesota_Vikings_season""","""2019 Minnesota Vikings season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Verizon_Media""","""Verizon Media"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/2012_Baltimore_Ravens_season""","""2012 Baltimore Ravens season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Super_Bowl_XXXII""","""Super Bowl XXXII"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Eastern_Time_Zone""","""Eastern Time Zone"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Play_from_scrimmage""","""Play from scrimmage"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/St._Louis_Cardinals""","""St. Louis Cardinals"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Damien_Williams""","""Damien Williams"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/South_Beach""","""South Beach"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Super_Bowl_LV""","""Super Bowl LV"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Red_zone_(gridiron_football)""","""Red zone (gridiron football)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Ocean_Drive_(South_Beach)""","""Ocean Drive (South Beach)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/DeForest_Buckner""","""DeForest Buckner"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Major_professional_sports_leagues_in_the_United_States_and_Canada""","""Major professional sports leagues in the United States and Canada"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Fox_Sports_1""","""Fox Sports 1"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Hard_Rock_Stadium""","""Hard Rock Stadium"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/NFL_on_Westwood_One_Sports""","""NFL on Westwood One Sports"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/BeIN_Sports""","""beIN Sports"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/SoFi_Stadium""","""SoFi Stadium"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Anthony_Hitchens""","""Anthony Hitchens"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Tyreek_Hill""","""Tyreek Hill"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Quarterback""","""Quarterback"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Ferris_wheel""","""Ferris wheel"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Frank_Clark_(American_football)""","""Frank Clark (American football)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/The_Masked_Singer_(American_TV_series)""","""The Masked Singer (American TV series)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Sammy_Watkins""","""Sammy Watkins"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Simultaneous_substitution""","""Simultaneous substitution"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Tampa,_Florida""","""Tampa, Florida"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/AFC_West""","""AFC West"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Monday_Night_Football""","""Monday Night Football"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/NFL_on_NBC""","""NFL on NBC"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/ESPN_Brasil""","""ESPN Brasil"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/National_Football_League_100th_Anniversary_All-Time_Team""","""National Football League 100th Anniversary All-Time Team"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Reseau_des_Sports""","""Réseau des sports"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/2019_San_Francisco_49ers_season""","""2019 San Francisco 49ers season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/List_of_Super_Bowl_halftime_shows""","""List of Super Bowl halftime shows"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Fred_Warner_(American_football)""","""Fred Warner (American football)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Harrison_Butker""","""Harrison Butker"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/1966_Green_Bay_Packers_season""","""1966 Green Bay Packers season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Sky_Sports""","""Sky Sports"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/TF1""","""TF1"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Two-minute_warning""","""Two-minute warning"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/List_of_national_anthem_performers_at_the_Super_Bowl""","""List of national anthem performers at the Super Bowl"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Donald_Trump""","""Donald Trump"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/High-dynamic-range_video""","""High-dynamic-range video"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Tim_Ryan_(American_football,_born_1967)""","""Tim Ryan (American football, born 1967)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Seed_(sports)""","""Seed (sports)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Bad_Bunny""","""Bad Bunny"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/File:Hard_Rock_Stadium.jpg""","""File:Hard Rock Stadium.jpg"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Raheem_Mostert""","""Raheem Mostert"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Roc_Nation""","""Roc Nation"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/AFL%E2%80%93NFL_merger""","""AFL–NFL merger"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Fox_Deportes""","""Fox Deportes"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Nick_Bosa""","""Nick Bosa"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/XFL_(2020)""","""XFL (2020)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Mike_Pereira""","""Mike Pereira"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Pacific_Time_Zone""","""Pacific Time Zone"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Terrell_Suggs""","""Terrell Suggs"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/ESPN_International""","""ESPN International"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Bye_(sports)""","""Bye (sports)"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/American_football_rules""","""American football rules"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Bell_Media""","""Bell Media"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Tony_Boselli""","""Tony Boselli"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Kansas_City_Chiefs""","""Kansas City Chiefs"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Jimmy_Garoppolo""","""Jimmy Garoppolo"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Super_Bowl_I""","""Super Bowl I"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/2012_San_Francisco_49ers_season""","""2012 San Francisco 49ers season"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/1080p""","""1080p"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Campaign_advertising""","""Campaign advertising"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/1116_SEN""","""1116 SEN"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Denver_Broncos""","""Denver Broncos"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Super_Bowl_LIII""","""Super Bowl LIII"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Matt_Breida""","""Matt Breida"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Kendall_Fuller""","""Kendall Fuller"""
"""https://en.wikipedia.org/wiki/Super_Bowl_LIV""","""https://en.wikipedia.org/wiki/Missouri""","""Missouri"""
